label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid-0,centroid-1,intensity_min,intensity_mean,intensity_max
103,144.0,56.384776310850235,0.9459204659174163,0.8571428571428571,13.540550005146152,106.54861111111111,124.44444444444444,0.6488634347915649,0.7916589975357056,0.9975358843803406
104,172.0,56.38477631085024,0.7534267605102605,0.8514851485148515,14.798554040663838,108.37209302325581,184.25581395348837,0.7368323802947998,0.9272397756576538,1.0
105,68.0,38.242640687119284,0.9745050296980308,0.9855072463768116,9.304852983362556,109.75,129.48529411764707,0.6502802968025208,0.8083678483963013,0.9608205556869507
106,288.0,71.83452377915607,0.850712498680795,0.9028213166144201,19.149229459268767,111.20833333333333,137.03125,0.6273640394210815,0.8294390439987183,0.9979671239852905
107,74.0,32.86396103067892,0.6453093735466411,0.9024390243902439,9.706684619910241,109.39189189189189,338.0945945945946,0.6699316501617432,0.7577948570251465,0.8419269323348999
108,496.0,97.11269837220809,0.8957843309912358,0.9001814882032668,25.13019725725687,112.28629032258064,114.20766129032258,0.6117168664932251,0.8506810069084167,0.9981518983840942
109,175.0,92.79898987322332,0.9685640922460755,0.5057803468208093,14.927053303604616,100.53714285714285,104.61142857142858,0.6091295480728149,0.8137881755828857,0.9911907911300659
110,71.0,49.86396103067892,0.9919659441610015,0.8658536585365854,9.507891862878783,113.84507042253522,103.50704225352112,0.7665249705314636,0.9203301072120667,0.9985215067863464
111,65.0,62.82842712474619,0.998005023827853,0.8125,9.09728368293446,119.92307692307692,87.86153846153846,0.665188193321228,0.8743859529495239,0.99956876039505
112,47.0,44.82842712474619,0.9962527450619101,0.8245614035087719,7.735777827895049,111.57446808510639,100.85106382978724,0.8342265486717224,0.9369933605194092,0.9991375803947449
113,214.0,94.72792206135786,0.993470257518919,0.9184549356223176,16.50676414605009,115.49532710280374,227.80373831775702,0.5964393615722656,0.9008368253707886,0.9998151659965515
114,112.0,77.07106781186548,0.9967909735842119,0.8615384615384616,11.941642642883693,120.27678571428571,90.41071428571429,0.6765847206115723,0.8768591284751892,0.9994455575942993
115,443.0,88.42640687119285,0.6501254572063719,0.8967611336032388,23.74963406702674,109.10835214446952,381.5733634311512,0.6206492781639099,0.8987007737159729,0.9991991519927979
116,66.0,63.621320343559645,0.9980279100536699,0.8148148148148148,9.166995688475081,126.10606060606061,60.27272727272727,0.7444711327552795,0.9619583487510681,1.0
117,375.0,100.42031021678298,0.942803646006166,0.7700205338809035,21.850968611841584,120.68266666666666,97.62933333333334,0.6866875886917114,0.8615074753761292,0.9993223547935486
118,33.0,30.82842712474619,0.9925330123511656,0.8461538461538461,6.4820448144285745,117.0,182.0,0.7726236581802368,0.8908863067626953,0.9999383687973022
119,70.0,67.62132034355965,0.9982801161418229,0.813953488372093,9.440697438826296,125.14285714285714,58.2,0.8373683094978333,0.9687920808792114,1.0
120,369.0,75.89949493661167,0.8293905562886921,0.9634464751958225,21.675455981530703,120.04336043360433,317.1951219512195,0.6013059616088867,0.9384769201278687,1.0
121,74.0,71.62132034355965,0.9985016744522507,0.8131868131868132,9.706684619910241,124.17567567567568,56.13513513513514,0.7615351676940918,0.9730038046836853,1.0
122,631.0,112.81118318204308,0.8825415579623094,0.9184861717612809,28.34456125481373,117.18858954041204,45.99841521394612,0.6039549112319946,0.9449717998504639,1.0
123,1057.0,146.64570696119915,0.7650586892524006,0.8456,36.68534037984474,113.49195837275307,283.5042573320719,0.6145505905151367,0.891277015209198,1.0
124,149.0,57.89949493661167,0.943362075134177,0.8514285714285714,13.773623058786647,120.71140939597315,185.95973154362417,0.6285344958305359,0.8204556107521057,1.0
125,100.0,70.48528137423857,0.9959792715730199,0.8771929824561403,11.283791670955125,124.38,273.04,0.614427387714386,0.9312986731529236,1.0
126,56.0,40.48528137423857,0.986956295881613,0.875,8.444016491289505,125.55357142857143,184.625,0.6285960674285889,0.9215872883796692,1.0
127,100.0,70.48528137423857,0.9960301742480784,0.8771929824561403,11.283791670955125,127.5,276.0,0.8108174800872803,0.943574845790863,1.0
128,161.0,50.8700576850888,0.7568917634285218,0.9147727272727273,14.317526556719258,125.01242236024845,147.47826086956522,0.6553933620452881,0.764902651309967,0.9978439211845398
129,143.0,45.935028842544405,0.617842486490267,0.910828025477707,13.493452297211721,127.12587412587412,164.85314685314685,0.564960241317749,0.8375130891799927,0.9991375803947449
